"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"02-May-2023","EQ","767.95","783.05","764.95","763.85","778.00","779.60","774.77","861.15","686.60","14,38,425","1,11,44,44,505.55","58,435"
"28-Apr-2023","EQ","758.00","765.00","751.50","754.00","761.90","763.85","760.21","861.15","686.60","12,61,145","95,87,36,414.60","48,155"
"27-Apr-2023","EQ","743.00","755.25","742.15","746.70","754.90","754.00","750.83","861.15","686.60","16,64,942","1,25,00,96,406.60","68,296"
"26-Apr-2023","EQ","733.95","749.00","724.00","734.45","745.55","746.70","737.11","861.15","686.60","37,25,680","2,74,62,40,708.85","97,239"
"25-Apr-2023","EQ","736.00","738.00","728.35","732.55","734.95","734.45","733.08","861.15","686.60","17,83,879","1,30,77,33,419.45","44,960"
"24-Apr-2023","EQ","706.00","735.00","706.00","700.40","734.50","732.55","725.14","861.15","686.60","60,09,290","4,35,75,89,617.25","89,170"
"21-Apr-2023","EQ","703.40","705.00","697.00","703.40","700.90","700.40","699.91","861.15","686.60","9,66,029","67,61,35,184.10","34,792"
"20-Apr-2023","EQ","699.00","704.40","696.45","700.85","703.00","703.40","700.51","861.15","686.60","12,63,116","88,48,28,930.70","57,731"
"19-Apr-2023","EQ","708.00","708.90","698.25","707.05","701.00","700.85","700.86","861.15","686.60","12,35,220","86,57,19,112.50","37,187"
"18-Apr-2023","EQ","716.20","719.90","706.70","713.20","707.45","707.05","710.59","861.15","686.60","13,23,608","94,05,48,128.85","44,731"
"17-Apr-2023","EQ","717.00","719.25","711.50","719.60","713.60","713.20","714.32","861.15","686.60","11,80,651","84,33,64,866.90","29,572"
"13-Apr-2023","EQ","722.00","723.70","717.65","718.40","718.00","719.60","720.31","861.15","686.60","5,02,380","36,18,69,878.90","28,932"
"12-Apr-2023","EQ","720.90","723.60","716.35","717.30","719.15","718.40","718.89","861.15","686.60","7,02,063","50,47,03,087.75","27,052"
"11-Apr-2023","EQ","725.95","725.95","715.70","720.65","718.00","717.30","718.53","861.15","686.60","7,76,167","55,76,97,671.75","33,547"
"10-Apr-2023","EQ","727.00","730.65","720.00","730.50","721.80","720.65","722.70","861.15","686.60","9,16,628","66,24,45,680.05","25,035"
"06-Apr-2023","EQ","727.30","731.45","722.50","727.40","730.00","730.50","728.22","861.15","686.60","7,38,748","53,79,71,640.80","27,344"
"05-Apr-2023","EQ","717.00","728.40","715.00","717.05","727.65","727.40","723.95","861.15","686.60","9,47,741","68,61,16,972.00","31,510"
"03-Apr-2023","EQ","710.00","718.50","709.30","708.85","716.95","717.05","714.89","861.15","686.60","7,97,533","57,01,50,795.15","28,954"
"31-Mar-2023","EQ","700.15","711.00","698.55","697.55","711.00","708.85","707.58","861.15","686.60","9,72,962","68,84,44,255.20","25,636"
"29-Mar-2023","EQ","696.05","703.00","694.80","696.05","698.00","697.55","698.82","861.15","686.60","11,60,832","81,12,09,026.45","45,247"
"28-Mar-2023","EQ","690.00","699.65","690.00","699.35","696.00","696.05","696.35","861.15","686.60","11,13,702","77,55,27,738.05","31,594"
"27-Mar-2023","EQ","706.90","707.40","697.20","702.35","697.45","699.35","705.43","861.15","686.60","36,95,292","2,60,67,76,976.20","32,804"
"24-Mar-2023","EQ","707.00","709.70","698.85","707.15","701.10","702.35","703.36","861.15","686.60","9,60,470","67,55,56,293.65","30,789"
"23-Mar-2023","EQ","711.55","713.95","705.80","710.90","706.50","707.15","709.67","861.15","686.60","5,87,643","41,70,31,540.85","27,442"
"22-Mar-2023","EQ","701.00","716.20","701.00","700.90","711.55","710.90","711.09","861.15","686.60","7,76,214","55,19,60,843.85","25,992"
"21-Mar-2023","EQ","704.10","706.00","700.00","702.60","701.00","700.90","702.70","861.15","686.60","7,21,243","50,68,18,051.15","29,285"
