"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"11-Oct-2023","EQ","895.00","897.20","886.20","888.75","887.00","888.40","892.67","909.90","686.60","10,62,565","94,85,17,416.50","36,559"
"10-Oct-2023","EQ","885.00","892.40","881.75","880.65","888.10","888.75","888.10","909.90","686.60","8,70,512","77,31,05,941.70","42,728"
"09-Oct-2023","EQ","868.00","883.85","866.80","874.75","879.65","880.65","877.70","909.90","686.60","12,00,788","1,05,39,28,844.20","40,324"
"06-Oct-2023","EQ","861.00","877.50","861.00","860.20","874.45","874.75","872.73","909.90","686.60","9,60,117","83,79,24,099.45","42,692"
"05-Oct-2023","EQ","866.05","869.25","857.50","864.75","861.70","860.20","861.69","909.90","686.60","7,49,977","64,62,44,712.95","50,800"
"04-Oct-2023","EQ","867.00","869.85","855.00","871.90","865.00","864.75","863.56","909.90","686.60","6,23,081","53,80,69,519.35","39,540"
"03-Oct-2023","EQ","870.00","879.55","864.10","876.90","873.85","871.90","871.55","909.90","686.60","11,83,376","1,03,13,74,310.90","46,356"
"29-Sep-2023","EQ","885.90","885.90","873.70","876.50","877.50","876.90","878.73","909.90","686.60","8,17,204","71,80,97,801.20","35,059"
"28-Sep-2023","EQ","894.80","896.00","870.10","888.85","880.00","876.50","880.81","909.90","686.60","18,01,983","1,58,72,07,333.00","55,298"
"27-Sep-2023","EQ","899.00","904.00","886.90","895.20","890.95","888.85","891.92","909.90","686.60","12,33,749","1,10,04,01,769.15","37,485"
"26-Sep-2023","EQ","907.60","909.90","891.50","900.60","893.00","895.20","901.55","909.90","686.60","20,64,298","1,86,10,59,864.00","62,927"
"25-Sep-2023","EQ","881.95","905.60","870.55","877.75","905.60","900.60","892.27","905.60","686.60","27,00,627","2,40,96,95,697.95","81,137"
"22-Sep-2023","EQ","871.00","889.85","870.05","871.00","877.00","877.75","879.44","897.70","686.60","15,18,828","1,33,57,23,670.50","51,025"
"21-Sep-2023","EQ","869.00","874.00","861.20","869.70","870.10","871.00","869.50","897.70","686.60","11,65,593","1,01,34,78,894.35","65,458"
"20-Sep-2023","EQ","880.80","880.90","865.00","880.95","868.50","869.70","870.63","897.70","686.60","9,24,868","80,52,21,565.05","36,785"
"18-Sep-2023","EQ","883.00","885.95","875.90","875.90","879.00","880.95","881.52","897.70","686.60","10,84,407","95,59,31,619.35","34,214"
"15-Sep-2023","EQ","887.55","889.75","873.50","884.55","876.45","875.90","877.34","897.70","686.60","11,04,866","96,93,48,131.95","42,144"
"14-Sep-2023","EQ","895.00","897.70","881.00","889.30","883.10","884.55","886.54","897.70","686.60","22,05,160","1,95,49,56,492.90","73,555"
"13-Sep-2023","EQ","862.00","891.25","860.15","864.75","890.00","889.30","879.65","891.25","686.60","28,12,359","2,47,38,89,866.00","69,388"
"12-Sep-2023","EQ","867.00","874.00","856.00","862.60","863.45","864.75","865.27","883.95","686.60","17,95,152","1,55,32,99,626.85","61,982"
"11-Sep-2023","EQ","855.50","864.95","854.75","853.10","863.00","862.60","860.96","883.95","686.60","10,39,583","89,50,37,072.70","46,295"
"08-Sep-2023","EQ","864.00","864.85","851.75","858.70","853.30","853.10","855.86","883.95","686.60","9,01,217","77,13,14,235.15","29,341"
"07-Sep-2023","EQ","865.70","866.95","854.00","878.90","858.95","858.70","858.74","883.95","686.60","34,58,930","2,97,03,27,828.30","76,712"
"06-Sep-2023","EQ","845.80","883.00","845.50","846.30","881.05","878.90","868.21","883.95","686.60","36,18,782","3,14,18,79,702.85","94,086"
"05-Sep-2023","EQ","847.00","852.40","843.05","846.05","847.00","846.30","847.59","883.95","686.60","7,45,626","63,19,83,010.10","29,982"
"04-Sep-2023","EQ","844.00","849.00","837.00","844.15","843.30","846.05","843.01","883.95","686.60","7,05,024","59,43,45,390.70","29,092"
"01-Sep-2023","EQ","833.00","847.40","833.00","834.35","843.35","844.15","842.70","883.95","686.60","6,61,741","55,76,49,158.85","36,286"
"31-Aug-2023","EQ","848.35","851.45","829.05","848.35","837.00","834.35","836.89","883.95","686.60","20,25,392","1,69,50,38,046.00","49,577"
"30-Aug-2023","EQ","841.00","849.30","838.70","838.25","848.00","848.35","846.21","883.95","686.60","6,04,884","51,18,56,983.30","24,450"
"29-Aug-2023","EQ","841.00","843.95","836.00","841.80","837.90","838.25","838.92","883.95","686.60","6,06,053","50,84,29,388.55","25,215"
"28-Aug-2023","EQ","832.50","842.95","828.25","832.55","840.00","841.80","837.08","883.95","686.60","6,49,996","54,40,99,213.45","36,459"
"25-Aug-2023","EQ","840.00","846.15","830.15","844.20","831.00","832.55","836.20","883.95","686.60","11,49,261","96,10,08,108.00","29,831"
"24-Aug-2023","EQ","845.00","854.80","842.10","844.55","845.00","844.20","847.26","883.95","686.60","14,82,572","1,25,61,26,302.25","33,702"
"23-Aug-2023","EQ","848.00","848.00","840.35","848.80","844.00","844.55","843.94","883.95","686.60","5,16,482","43,58,80,973.90","24,957"
"22-Aug-2023","EQ","847.00","851.55","844.00","848.50","846.50","848.80","849.15","883.95","686.60","7,82,931","66,48,22,092.40","34,701"
"21-Aug-2023","EQ","846.00","849.40","840.80","842.55","847.05","848.50","846.19","883.95","686.60","6,80,778","57,60,70,617.10","25,781"
"18-Aug-2023","EQ","845.00","848.95","835.50","844.25","843.40","842.55","843.26","883.95","686.60","11,45,798","96,62,01,450.75","38,556"
"17-Aug-2023","EQ","835.00","845.95","835.00","840.70","844.90","844.25","841.71","883.95","686.60","11,05,325","93,03,64,637.35","51,743"
"16-Aug-2023","EQ","840.90","843.45","836.80","844.70","838.00","840.70","840.15","883.95","686.60","3,60,863","30,31,78,743.30","14,680"
"14-Aug-2023","EQ","838.85","845.90","829.65","836.90","845.00","844.70","840.85","883.95","686.60","7,54,694","63,45,80,827.45","32,827"
"11-Aug-2023","EQ","849.70","853.85","835.00","850.55","835.80","836.90","840.05","883.95","686.60","9,09,080","76,36,74,939.80","31,864"
"10-Aug-2023","EQ","861.15","863.20","848.00","860.20","850.70","850.55","852.62","883.95","686.60","9,41,390","80,26,47,774.20","34,575"
"09-Aug-2023","EQ","851.00","862.45","847.65","847.45","860.85","860.20","854.13","883.95","686.60","17,04,615","1,45,59,68,178.85","38,792"
"08-Aug-2023","EQ","839.00","853.10","833.75","837.80","846.00","847.45","842.80","883.95","686.60","12,52,297","1,05,54,37,231.25","40,626"
"07-Aug-2023","EQ","836.95","840.65","829.50","834.80","835.30","837.80","835.85","883.95","686.60","11,06,208","92,46,27,826.90","39,736"
"04-Aug-2023","EQ","837.05","841.60","832.30","835.40","834.00","834.80","835.09","883.95","686.60","8,87,582","74,12,08,315.20","30,907"
"03-Aug-2023","EQ","840.00","841.65","832.55","843.05","834.90","835.40","837.71","883.95","686.60","13,75,222","1,15,20,37,475.05","44,649"
"02-Aug-2023","EQ","855.00","855.00","838.20","856.75","840.80","843.05","842.78","883.95","686.60","16,04,731","1,35,24,39,859.50","48,837"
"01-Aug-2023","EQ","861.90","863.30","853.10","859.30","857.00","856.75","857.53","883.95","686.60","9,87,812","84,70,80,219.65","44,159"
"31-Jul-2023","EQ","859.35","860.85","852.50","859.35","859.00","859.30","858.27","883.95","686.60","14,54,789","1,24,85,98,781.35","45,453"
"28-Jul-2023","EQ","854.25","860.40","842.00","850.05","859.40","859.35","856.61","883.95","686.60","23,65,708","2,02,64,96,234.90","44,613"
"27-Jul-2023","EQ","875.95","880.00","847.70","873.90","850.20","850.05","856.80","883.95","686.60","32,03,072","2,74,43,95,602.35","80,739"
"26-Jul-2023","EQ","873.95","883.95","869.55","868.55","870.10","873.90","876.30","883.95","686.60","19,40,116","1,70,01,19,245.05","78,581"
"25-Jul-2023","EQ","863.10","869.50","856.00","863.10","869.00","868.55","864.06","877.20","686.60","8,73,678","75,49,05,964.35","36,427"
"24-Jul-2023","EQ","854.00","867.00","848.90","852.35","860.20","863.10","860.58","877.20","686.60","11,49,904","98,95,84,683.50","32,777"
"21-Jul-2023","EQ","873.70","876.40","849.60","873.10","852.90","852.35","861.91","877.20","686.60","12,30,534","1,06,06,05,008.10","46,009"
"20-Jul-2023","EQ","860.00","875.00","854.55","860.45","875.00","873.10","867.29","877.20","686.60","13,81,298","1,19,79,89,324.25","64,984"
"19-Jul-2023","EQ","864.95","864.95","854.40","858.70","859.00","860.45","859.90","877.20","686.60","9,52,601","81,91,43,264.95","36,896"
"18-Jul-2023","EQ","854.20","863.00","848.45","852.60","859.00","858.70","855.77","877.20","686.60","14,12,514","1,20,87,81,305.95","41,562"
"17-Jul-2023","EQ","855.10","860.70","849.35","851.50","851.00","852.60","853.68","877.20","686.60","12,00,820","1,02,51,19,845.80","42,060"
"14-Jul-2023","EQ","838.95","852.75","833.60","837.35","852.00","851.50","845.61","877.20","686.60","17,05,168","1,44,19,04,555.10","42,160"
"13-Jul-2023","EQ","847.00","849.00","835.20","843.25","837.00","837.35","842.65","877.20","686.60","9,85,928","83,07,96,132.10","33,034"
"12-Jul-2023","EQ","844.95","847.80","838.80","840.30","842.90","843.25","844.08","877.20","686.60","14,35,731","1,21,18,65,447.30","46,405"
"11-Jul-2023","EQ","826.00","843.00","825.75","825.65","842.50","840.30","834.86","877.20","686.60","21,67,322","1,80,94,08,297.25","47,927"
"10-Jul-2023","EQ","841.50","841.50","822.00","833.25","827.00","825.65","827.56","877.20","686.60","11,77,214","97,42,11,436.75","30,515"
"07-Jul-2023","EQ","845.05","852.50","831.80","845.05","834.00","833.25","842.86","877.20","686.60","18,11,594","1,52,69,22,792.55","59,191"
"06-Jul-2023","EQ","845.90","847.55","841.40","845.90","845.25","845.05","844.91","877.20","686.60","23,63,769","1,99,71,83,741.90","54,797"
"05-Jul-2023","EQ","859.00","861.25","841.15","855.55","846.45","845.90","847.13","877.20","686.60","25,37,154","2,14,92,94,330.85","50,953"
"04-Jul-2023","EQ","858.65","861.70","852.20","858.85","855.90","855.55","856.17","877.20","686.60","7,59,030","64,98,59,830.35","37,448"
"03-Jul-2023","EQ","866.95","866.95","856.45","860.90","858.95","858.85","859.75","877.20","686.60","12,26,135","1,05,41,68,873.90","45,466"
"30-Jun-2023","EQ","850.05","863.55","850.05","854.95","860.20","860.90","858.10","877.20","686.60","13,94,632","1,19,67,35,464.35","51,478"
"28-Jun-2023","EQ","854.50","860.00","851.00","854.20","857.00","854.95","856.23","877.20","686.60","9,14,411","78,29,42,220.00","35,499"
"27-Jun-2023","EQ","863.95","868.10","852.60","862.55","853.90","854.20","858.59","877.20","686.60","11,31,450","97,14,46,318.80","34,607"
"26-Jun-2023","EQ","854.00","866.00","847.85","840.85","861.90","862.55","860.23","877.20","686.60","30,22,935","2,60,04,19,938.50","71,480"
